section	source_file	source_sha256	dataset	scope	module_id	donor_id	normal_score	adenoma_score	difference	direction	contrast	effect	effect_unit	ci_low	ci_high	p_value	FDR	n_donors	donor_ids	inferential_unit	model	adjustment_set	direction_by_donor	status	audit_id	category	nested_unit	n_donors_or_units	degrees_of_freedom	model_or_formula	effect_definition	ci_and_p_algorithm	multiplicity_family	multiplicity_method	pairing_batch_covariates	audit_result	evidence	limitations
four_donor_effects	${SYSTEM_TEMP}/crc_stage11b_remote_source/GSE201348_module_donor_effects.tsv	914c154b608814c8a2fe2530a3d4db83597f5dda9cfe8214cccbb7d12c7243a1	GSE201348	Stem_progenitor	Stem_progenitor_SB_M10	A002	4.91412930095492	5.45795328269337	0.543823981738456	increased	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
four_donor_effects	${SYSTEM_TEMP}/crc_stage11b_remote_source/GSE201348_module_donor_effects.tsv	914c154b608814c8a2fe2530a3d4db83597f5dda9cfe8214cccbb7d12c7243a1	GSE201348	Stem_progenitor	Stem_progenitor_SB_M10	A014	4.51338354044548	6.21640932299545	1.70302578254997	increased	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
four_donor_effects	${SYSTEM_TEMP}/crc_stage11b_remote_source/GSE201348_module_donor_effects.tsv	914c154b608814c8a2fe2530a3d4db83597f5dda9cfe8214cccbb7d12c7243a1	GSE201348	Stem_progenitor	Stem_progenitor_SB_M10	A015	5.37232766161578	6.19002980549723	0.817702143881455	increased	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
four_donor_effects	${SYSTEM_TEMP}/crc_stage11b_remote_source/GSE201348_module_donor_effects.tsv	914c154b608814c8a2fe2530a3d4db83597f5dda9cfe8214cccbb7d12c7243a1	GSE201348	Stem_progenitor	Stem_progenitor_SB_M12	A001	5.01189476444764	5.86091570773776	0.849020943290116	increased	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
four_donor_effects	${SYSTEM_TEMP}/crc_stage11b_remote_source/GSE201348_module_donor_effects.tsv	914c154b608814c8a2fe2530a3d4db83597f5dda9cfe8214cccbb7d12c7243a1	GSE201348	Stem_progenitor	Stem_progenitor_SB_M12	A002	6.33548032559375	6.9336166093102	0.598136283716447	increased	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
four_donor_effects	${SYSTEM_TEMP}/crc_stage11b_remote_source/GSE201348_module_donor_effects.tsv	914c154b608814c8a2fe2530a3d4db83597f5dda9cfe8214cccbb7d12c7243a1	GSE201348	Stem_progenitor	Stem_progenitor_SB_M12	A014	4.84563892697627	5.90337562913086	1.05773670215459	increased	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
four_donor_effects	${SYSTEM_TEMP}/crc_stage11b_remote_source/GSE201348_module_donor_effects.tsv	914c154b608814c8a2fe2530a3d4db83597f5dda9cfe8214cccbb7d12c7243a1	GSE201348	Stem_progenitor	Stem_progenitor_SB_M12	A015	6.0079619776235	6.60117738394056	0.593215406317062	increased	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
four_donor_effects	${SYSTEM_TEMP}/crc_stage11b_remote_source/GSE201348_module_donor_effects.tsv	914c154b608814c8a2fe2530a3d4db83597f5dda9cfe8214cccbb7d12c7243a1	GSE201348	Stem_progenitor	Stem_progenitor_SB_M16	A001	3.81471693253285	4.37900626706945	0.5642893345366	increased	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
four_donor_effects	${SYSTEM_TEMP}/crc_stage11b_remote_source/GSE201348_module_donor_effects.tsv	914c154b608814c8a2fe2530a3d4db83597f5dda9cfe8214cccbb7d12c7243a1	GSE201348	Stem_progenitor	Stem_progenitor_SB_M16	A002	3.64586304065512	4.47260312746728	0.826740086812156	increased	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
four_donor_effects	${SYSTEM_TEMP}/crc_stage11b_remote_source/GSE201348_module_donor_effects.tsv	914c154b608814c8a2fe2530a3d4db83597f5dda9cfe8214cccbb7d12c7243a1	GSE201348	Stem_progenitor	Stem_progenitor_SB_M16	A014	3.31955503531621	4.50958037746241	1.1900253421462	increased	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
four_donor_effects	${SYSTEM_TEMP}/crc_stage11b_remote_source/GSE201348_module_donor_effects.tsv	914c154b608814c8a2fe2530a3d4db83597f5dda9cfe8214cccbb7d12c7243a1	GSE201348	Stem_progenitor	Stem_progenitor_SB_M16	A015	3.84965877098657	4.58911528432908	0.739456513342509	increased	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
locked_module_results	${SYSTEM_TEMP}/crc_stage11b_remote_source/stage10C_locked_module_results.tsv	3d18119a4c82d397b12dbc7d7a4390e118ef9bba01289e2436a4233955da95f8	GSE201348	All_epithelial	Stem_progenitor_SB_M02	NA	NA	NA	NA	NA	FAP_adenoma_vs_normal	1.27648053160379	mean_locked_gene_log2CPM_difference	0.243353678578395	2.30960738462918	0.0292897628100523	0.0585795256201046	4	A001;A002;A014;A015	donor	paired_t_on_donor_module_score_differences	within_donor_pair	A001:increased;A002:increased;A014:increased;A015:increased	estimated	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
locked_module_results	${SYSTEM_TEMP}/crc_stage11b_remote_source/stage10C_locked_module_results.tsv	3d18119a4c82d397b12dbc7d7a4390e118ef9bba01289e2436a4233955da95f8	GSE201348	All_epithelial	Cycling_SB_M01	NA	NA	NA	NA	NA	FAP_adenoma_vs_normal	-0.869777723467325	mean_locked_gene_log2CPM_difference	-1.74344630176108	0.00389085482643163	0.0505478311297269	0.0633066016470706	4	A001;A002;A014;A015	donor	paired_t_on_donor_module_score_differences	within_donor_pair	A001:decreased;A002:decreased;A014:decreased;A015:decreased	estimated	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
locked_module_results	${SYSTEM_TEMP}/crc_stage11b_remote_source/stage10C_locked_module_results.tsv	3d18119a4c82d397b12dbc7d7a4390e118ef9bba01289e2436a4233955da95f8	GSE201348	All_epithelial	Cycling_SB_M02	NA	NA	NA	NA	NA	FAP_adenoma_vs_normal	1.00907667992595	mean_locked_gene_log2CPM_difference	-0.0480500871590142	2.06620344701091	0.0559648535312322	0.0633066016470706	4	A001;A002;A014;A015	donor	paired_t_on_donor_module_score_differences	within_donor_pair	A001:increased;A002:increased;A014:increased;A015:increased	estimated	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
