section	source_file	source_sha256	scenario_id	mapped36	mapped35	primary_36of36	sensitivity_29of36	sensitivity_35gene_80pct	status	record_type	qc_mode	annotation_source	compartment	min_cells	scenario_role	score_method	score_role	patient_id	lesion_sample	normal_sample	lesion_score	normal_score	effect_lesion_minus_normal	direction_positive	k_positive	n_pairs	descriptive_mean_effect	ci_lower	ci_upper	p_value	fdr	inferential_unit	reason	P1_effect	P5_effect
matched_pair_effects	results/stage10c3/STAGE10C3_MATCHED_PAIR_EFFECTS.tsv	7589a26142d443a56a803e5eed7eedecf65bb02005846309145d8c07907afb62	CELL_MIN100_SENS	NA	NA	NA	NA	NA	ESTIMABLE	individual_patient_effect	primary_qc	independent_broad_annotation	all_epithelial	100	cell_count_sensitivity	M02_29OF36_COVERAGE_SENS	coverage_sensitivity	P5	P5_L	P5_N	3.31630540930803	1.0526526116919	2.26365279761613	TRUE	NA	1	NA	NA	NA	NA	NA	patient	individual matched-patient directional effect; no population inference	NA	NA
matched_pair_effects	results/stage10c3/STAGE10C3_MATCHED_PAIR_EFFECTS.tsv	7589a26142d443a56a803e5eed7eedecf65bb02005846309145d8c07907afb62	CELL_MIN100_SENS	NA	NA	NA	NA	NA	ESTIMABLE	direction_summary	primary_qc	independent_broad_annotation	all_epithelial	100	cell_count_sensitivity	M02_29OF36_COVERAGE_SENS	coverage_sensitivity	P1+P5	P1_L;P5_L	P1_N;P5_N	NA	NA	NA	NA	2	2	2.38268216920737	NA	NA	NA	NA	patient	two directional patient effects; no population inference	NA	NA
matched_pair_effects	results/stage10c3/STAGE10C3_MATCHED_PAIR_EFFECTS.tsv	7589a26142d443a56a803e5eed7eedecf65bb02005846309145d8c07907afb62	CELL_MIN100_SENS	NA	NA	NA	NA	NA	ESTIMABLE	individual_patient_effect	primary_qc	independent_broad_annotation	all_epithelial	100	cell_count_sensitivity	M02_MINUS_INPP5D_SENS_V1	contamination_sensitivity	P1	P1_L	P1_N	3.38416069869594	0.891118283369527	2.49304241532641	TRUE	NA	1	NA	NA	NA	NA	NA	patient	individual matched-patient directional effect; no population inference	NA	NA
matched_pair_effects	results/stage10c3/STAGE10C3_MATCHED_PAIR_EFFECTS.tsv	7589a26142d443a56a803e5eed7eedecf65bb02005846309145d8c07907afb62	CELL_MIN100_SENS	NA	NA	NA	NA	NA	ESTIMABLE	individual_patient_effect	primary_qc	independent_broad_annotation	all_epithelial	100	cell_count_sensitivity	M02_MINUS_INPP5D_SENS_V1	contamination_sensitivity	P5	P5_L	P5_N	3.30475946830386	1.05832691187621	2.24643255642765	TRUE	NA	1	NA	NA	NA	NA	NA	patient	individual matched-patient directional effect; no population inference	NA	NA
matched_pair_effects	results/stage10c3/STAGE10C3_MATCHED_PAIR_EFFECTS.tsv	7589a26142d443a56a803e5eed7eedecf65bb02005846309145d8c07907afb62	CELL_MIN100_SENS	NA	NA	NA	NA	NA	ESTIMABLE	direction_summary	primary_qc	independent_broad_annotation	all_epithelial	100	cell_count_sensitivity	M02_MINUS_INPP5D_SENS_V1	contamination_sensitivity	P1+P5	P1_L;P5_L	P1_N;P5_N	NA	NA	NA	NA	2	2	2.36973748587703	NA	NA	NA	NA	patient	two directional patient effects; no population inference	NA	NA
matched_pair_effects	results/stage10c3/STAGE10C3_MATCHED_PAIR_EFFECTS.tsv	7589a26142d443a56a803e5eed7eedecf65bb02005846309145d8c07907afb62	CELL_MIN100_SENS	NA	NA	NA	NA	NA	ESTIMABLE	individual_patient_effect	primary_qc	independent_broad_annotation	all_epithelial	100	cell_count_sensitivity	M02_GENE_Z_SENS	score_sensitivity	P1	P1_L	P1_N	0.548905537738476	-1.35227963433313	1.9011851720716	TRUE	NA	1	NA	NA	NA	NA	NA	patient	individual matched-patient directional effect; no population inference	NA	NA
matched_pair_effects	results/stage10c3/STAGE10C3_MATCHED_PAIR_EFFECTS.tsv	7589a26142d443a56a803e5eed7eedecf65bb02005846309145d8c07907afb62	CELL_MIN100_SENS	NA	NA	NA	NA	NA	ESTIMABLE	individual_patient_effect	primary_qc	independent_broad_annotation	all_epithelial	100	cell_count_sensitivity	M02_GENE_Z_SENS	score_sensitivity	P5	P5_L	P5_N	0.303900803039697	-1.23308036133016	1.53698116436986	TRUE	NA	1	NA	NA	NA	NA	NA	patient	individual matched-patient directional effect; no population inference	NA	NA
matched_pair_effects	results/stage10c3/STAGE10C3_MATCHED_PAIR_EFFECTS.tsv	7589a26142d443a56a803e5eed7eedecf65bb02005846309145d8c07907afb62	CELL_MIN100_SENS	NA	NA	NA	NA	NA	ESTIMABLE	direction_summary	primary_qc	independent_broad_annotation	all_epithelial	100	cell_count_sensitivity	M02_GENE_Z_SENS	score_sensitivity	P1+P5	P1_L;P5_L	P1_N;P5_N	NA	NA	NA	NA	2	2	1.71908316822073	NA	NA	NA	NA	patient	two directional patient effects; no population inference	NA	NA
matched_pair_effects	results/stage10c3/STAGE10C3_MATCHED_PAIR_EFFECTS.tsv	7589a26142d443a56a803e5eed7eedecf65bb02005846309145d8c07907afb62	CELL_MIN100_SENS	NA	NA	NA	NA	NA	ESTIMABLE	individual_patient_effect	primary_qc	independent_broad_annotation	all_epithelial	100	cell_count_sensitivity	M02_UCELL_SENS	score_sensitivity	P1	P1_L	P1_N	0.0506409594024537	0.0158395118620925	0.0348014475403611	TRUE	NA	1	NA	NA	NA	NA	NA	patient	individual matched-patient directional effect; no population inference	NA	NA
matched_pair_effects	results/stage10c3/STAGE10C3_MATCHED_PAIR_EFFECTS.tsv	7589a26142d443a56a803e5eed7eedecf65bb02005846309145d8c07907afb62	CELL_MIN100_SENS	NA	NA	NA	NA	NA	ESTIMABLE	individual_patient_effect	primary_qc	independent_broad_annotation	all_epithelial	100	cell_count_sensitivity	M02_UCELL_SENS	score_sensitivity	P5	P5_L	P5_N	0.0567132739082366	0.0153439169609708	0.0413693569472658	TRUE	NA	1	NA	NA	NA	NA	NA	patient	individual matched-patient directional effect; no population inference	NA	NA
matched_pair_effects	results/stage10c3/STAGE10C3_MATCHED_PAIR_EFFECTS.tsv	7589a26142d443a56a803e5eed7eedecf65bb02005846309145d8c07907afb62	CELL_MIN100_SENS	NA	NA	NA	NA	NA	ESTIMABLE	direction_summary	primary_qc	independent_broad_annotation	all_epithelial	100	cell_count_sensitivity	M02_UCELL_SENS	score_sensitivity	P1+P5	P1_L;P5_L	P1_N;P5_N	NA	NA	NA	NA	2	2	0.0380854022438135	NA	NA	NA	NA	patient	two directional patient effects; no population inference	NA	NA
matched_pair_effects	results/stage10c3/STAGE10C3_MATCHED_PAIR_EFFECTS.tsv	7589a26142d443a56a803e5eed7eedecf65bb02005846309145d8c07907afb62	DEPOSIT_QC_SENS	NA	NA	NA	NA	NA	NOT_ESTIMABLE	individual_patient_effect	deposit_preserving	independent_broad_annotation	all_epithelial	50	qc_sensitivity	M02_SCORE_V1	primary	P1	P1_L	P1_N	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	patient	required matched sample score unavailable	NA	NA
matched_pair_effects	results/stage10c3/STAGE10C3_MATCHED_PAIR_EFFECTS.tsv	7589a26142d443a56a803e5eed7eedecf65bb02005846309145d8c07907afb62	DEPOSIT_QC_SENS	NA	NA	NA	NA	NA	NOT_ESTIMABLE	individual_patient_effect	deposit_preserving	independent_broad_annotation	all_epithelial	50	qc_sensitivity	M02_SCORE_V1	primary	P5	P5_L	P5_N	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	patient	required matched sample score unavailable	NA	NA
matched_pair_effects	results/stage10c3/STAGE10C3_MATCHED_PAIR_EFFECTS.tsv	7589a26142d443a56a803e5eed7eedecf65bb02005846309145d8c07907afb62	DEPOSIT_QC_SENS	NA	NA	NA	NA	NA	NOT_ESTIMABLE	direction_summary	deposit_preserving	independent_broad_annotation	all_epithelial	50	qc_sensitivity	M02_SCORE_V1	primary	P1+P5	P1_L;P5_L	P1_N;P5_N	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	patient	two directional patient effects; no population inference	NA	NA
matched_pair_effects	results/stage10c3/STAGE10C3_MATCHED_PAIR_EFFECTS.tsv	7589a26142d443a56a803e5eed7eedecf65bb02005846309145d8c07907afb62	DEPOSIT_QC_SENS	NA	NA	NA	NA	NA	ESTIMABLE	individual_patient_effect	deposit_preserving	independent_broad_annotation	all_epithelial	50	qc_sensitivity	M02_29OF36_COVERAGE_SENS	coverage_sensitivity	P1	P1_L	P1_N	3.15435979364631	0.75187280911745	2.40248698452886	TRUE	NA	1	NA	NA	NA	NA	NA	patient	individual matched-patient directional effect; no population inference	NA	NA
matched_pair_effects	results/stage10c3/STAGE10C3_MATCHED_PAIR_EFFECTS.tsv	7589a26142d443a56a803e5eed7eedecf65bb02005846309145d8c07907afb62	DEPOSIT_QC_SENS	NA	NA	NA	NA	NA	ESTIMABLE	individual_patient_effect	deposit_preserving	independent_broad_annotation	all_epithelial	50	qc_sensitivity	M02_29OF36_COVERAGE_SENS	coverage_sensitivity	P5	P5_L	P5_N	3.1419509573056	1.09144120221905	2.05050975508655	TRUE	NA	1	NA	NA	NA	NA	NA	patient	individual matched-patient directional effect; no population inference	NA	NA
matched_pair_effects	results/stage10c3/STAGE10C3_MATCHED_PAIR_EFFECTS.tsv	7589a26142d443a56a803e5eed7eedecf65bb02005846309145d8c07907afb62	DEPOSIT_QC_SENS	NA	NA	NA	NA	NA	ESTIMABLE	direction_summary	deposit_preserving	independent_broad_annotation	all_epithelial	50	qc_sensitivity	M02_29OF36_COVERAGE_SENS	coverage_sensitivity	P1+P5	P1_L;P5_L	P1_N;P5_N	NA	NA	NA	NA	2	2	2.22649836980771	NA	NA	NA	NA	patient	two directional patient effects; no population inference	NA	NA
matched_pair_effects	results/stage10c3/STAGE10C3_MATCHED_PAIR_EFFECTS.tsv	7589a26142d443a56a803e5eed7eedecf65bb02005846309145d8c07907afb62	DEPOSIT_QC_SENS	NA	NA	NA	NA	NA	ESTIMABLE	individual_patient_effect	deposit_preserving	independent_broad_annotation	all_epithelial	50	qc_sensitivity	M02_MINUS_INPP5D_SENS_V1	contamination_sensitivity	P1	P1_L	P1_N	3.13948304341717	0.712662935721397	2.42682010769577	TRUE	NA	1	NA	NA	NA	NA	NA	patient	individual matched-patient directional effect; no population inference	NA	NA
matched_pair_effects	results/stage10c3/STAGE10C3_MATCHED_PAIR_EFFECTS.tsv	7589a26142d443a56a803e5eed7eedecf65bb02005846309145d8c07907afb62	DEPOSIT_QC_SENS	NA	NA	NA	NA	NA	ESTIMABLE	individual_patient_effect	deposit_preserving	independent_broad_annotation	all_epithelial	50	qc_sensitivity	M02_MINUS_INPP5D_SENS_V1	contamination_sensitivity	P5	P5_L	P5_N	3.12957772150577	1.08139534196921	2.04818237953657	TRUE	NA	1	NA	NA	NA	NA	NA	patient	individual matched-patient directional effect; no population inference	NA	NA
matched_pair_effects	results/stage10c3/STAGE10C3_MATCHED_PAIR_EFFECTS.tsv	7589a26142d443a56a803e5eed7eedecf65bb02005846309145d8c07907afb62	DEPOSIT_QC_SENS	NA	NA	NA	NA	NA	ESTIMABLE	direction_summary	deposit_preserving	independent_broad_annotation	all_epithelial	50	qc_sensitivity	M02_MINUS_INPP5D_SENS_V1	contamination_sensitivity	P1+P5	P1_L;P5_L	P1_N;P5_N	NA	NA	NA	NA	2	2	2.23750124361617	NA	NA	NA	NA	patient	two directional patient effects; no population inference	NA	NA
matched_pair_effects	results/stage10c3/STAGE10C3_MATCHED_PAIR_EFFECTS.tsv	7589a26142d443a56a803e5eed7eedecf65bb02005846309145d8c07907afb62	DEPOSIT_QC_SENS	NA	NA	NA	NA	NA	ESTIMABLE	individual_patient_effect	deposit_preserving	independent_broad_annotation	all_epithelial	50	qc_sensitivity	M02_GENE_Z_SENS	score_sensitivity	P1	P1_L	P1_N	0.440517685047865	-1.36130784596699	1.80182553101485	TRUE	NA	1	NA	NA	NA	NA	NA	patient	individual matched-patient directional effect; no population inference	NA	NA
matched_pair_effects	results/stage10c3/STAGE10C3_MATCHED_PAIR_EFFECTS.tsv	7589a26142d443a56a803e5eed7eedecf65bb02005846309145d8c07907afb62	DEPOSIT_QC_SENS	NA	NA	NA	NA	NA	ESTIMABLE	individual_patient_effect	deposit_preserving	independent_broad_annotation	all_epithelial	50	qc_sensitivity	M02_GENE_Z_SENS	score_sensitivity	P5	P5_L	P5_N	0.219878102564719	-1.18507581632082	1.40495391888554	TRUE	NA	1	NA	NA	NA	NA	NA	patient	individual matched-patient directional effect; no population inference	NA	NA
matched_pair_effects	results/stage10c3/STAGE10C3_MATCHED_PAIR_EFFECTS.tsv	7589a26142d443a56a803e5eed7eedecf65bb02005846309145d8c07907afb62	DEPOSIT_QC_SENS	NA	NA	NA	NA	NA	ESTIMABLE	direction_summary	deposit_preserving	independent_broad_annotation	all_epithelial	50	qc_sensitivity	M02_GENE_Z_SENS	score_sensitivity	P1+P5	P1_L;P5_L	P1_N;P5_N	NA	NA	NA	NA	2	2	1.6033897249502	NA	NA	NA	NA	patient	two directional patient effects; no population inference	NA	NA
matched_pair_effects	results/stage10c3/STAGE10C3_MATCHED_PAIR_EFFECTS.tsv	7589a26142d443a56a803e5eed7eedecf65bb02005846309145d8c07907afb62	DEPOSIT_QC_SENS	NA	NA	NA	NA	NA	ESTIMABLE	individual_patient_effect	deposit_preserving	independent_broad_annotation	all_epithelial	50	qc_sensitivity	M02_UCELL_SENS	score_sensitivity	P1	P1_L	P1_N	0.0428973791213648	0.0152761629257865	0.0276212161955783	TRUE	NA	1	NA	NA	NA	NA	NA	patient	individual matched-patient directional effect; no population inference	NA	NA
